ID,Prob1
0,0.50
1,0.44
2,0.22
3,0.59
4,0.52
5,0.30
6,0.48
7,0.36
8,0.19
9,0.44
10,0.51
11,0.57
12,0.25
13,0.36
14,0.31
15,0.20
16,0.51
17,0.29
18,0.51
19,0.58
20,0.23
21,0.32
22,0.49
23,0.39
24,0.45
25,0.51
26,0.65
27,0.22
28,0.23
29,0.32
30,0.61
31,0.26
32,0.56
33,0.21
34,0.28
35,0.23
36,0.21
37,0.44
38,0.29
39,0.28
40,0.21
41,0.55
42,0.59
43,0.54
44,0.34
45,0.28
46,0.47
47,0.42
48,0.67
49,0.60
50,0.44
51,0.21
52,0.49
53,0.31
54,0.51
55,0.24
56,0.25
57,0.23
58,0.46
59,0.51
60,0.46
61,0.39
62,0.20
63,0.48
64,0.19
65,0.41
66,0.23
67,0.50
68,0.22
69,0.67
70,0.21
71,0.39
72,0.47
73,0.31
74,0.62
75,0.45
76,0.41
77,0.25
78,0.22
79,0.22
80,0.23
81,0.46
82,0.53
83,0.31
84,0.52
85,0.29
86,0.28
87,0.19
88,0.28
89,0.16
90,0.60
91,0.43
92,0.41
93,0.19
94,0.40
95,0.55
96,0.42
97,0.30
98,0.34
99,0.25
100,0.25
101,0.27
102,0.29
103,0.34
104,0.31
105,0.57
106,0.36
107,0.35
108,0.25
109,0.30
110,0.24
111,0.41
112,0.56
113,0.43
114,0.38
115,0.35
116,0.61
117,0.37
118,0.40
119,0.28
120,0.50
121,0.34
122,0.02
123,0.54
124,0.30
125,0.70
126,0.45
127,0.41
128,0.23
129,0.25
130,0.29
131,0.20
132,0.26
133,0.35
134,0.40
135,0.49
136,0.32
137,0.27
138,0.18
139,0.45
140,0.38
141,0.49
142,0.24
143,0.41
144,0.22
145,0.57
146,0.72
147,0.28
148,0.29
149,0.39
150,0.24
151,0.31
152,0.25
153,0.39
154,0.40
155,0.32
156,0.48
157,0.40
158,0.40
159,0.29
160,0.66
161,0.32
162,0.30
163,0.45
164,0.36
165,0.32
166,0.22
167,0.26
168,0.23
169,0.28
170,0.19
171,0.22
172,0.22
173,0.64
174,0.22
175,0.29
176,0.51
177,0.27
178,0.71
179,0.26
180,0.24
181,0.60
182,0.25
183,0.65
184,0.34
185,0.33
186,0.31
187,0.25
188,0.19
189,0.44
190,0.29
191,0.31
192,0.39
193,0.24
194,0.21
195,0.21
196,0.37
197,0.23
198,0.47
199,0.24
200,0.30
201,0.18
202,0.34
203,0.63
204,0.38
205,0.57
206,0.28
207,0.32
208,0.22
209,0.22
210,0.35
211,0.20
212,0.35
213,0.35
214,0.20
215,0.45
216,0.28
217,0.22
218,0.29
219,0.49
220,0.32
221,0.63
222,0.28
223,0.33
224,0.21
225,0.25
226,0.32
227,0.27
228,0.53
229,0.22
230,0.28
231,0.20
232,0.34
233,0.69
234,0.23
235,0.26
236,0.32
237,0.29
238,0.49
239,0.25
240,0.26
241,0.27
242,0.51
243,0.32
244,0.47
245,0.21
246,0.23
247,0.28
248,0.34
249,0.25
250,0.40
251,0.16
252,0.29
253,0.21
254,0.36
255,0.37
256,0.20
257,0.34
258,0.35
259,0.23
260,0.31
261,0.33
262,0.36
263,0.26
264,0.37
265,0.32
266,0.28
267,0.24
268,0.24
269,0.32
270,0.32
271,0.25
272,0.23
273,0.29
274,0.41
275,0.39
276,0.22
277,0.54
278,0.26
279,0.29
280,0.42
281,0.50
282,0.34
283,0.30
284,0.51
285,0.39
286,0.20
287,0.39
288,0.59
289,0.43
290,0.24
291,0.27
292,0.53
293,0.25
294,0.22
295,0.49
296,0.15
297,0.41
298,0.56
299,0.28
300,0.44
301,0.21
302,0.61
303,0.36
304,0.38
305,0.23
306,0.21
307,0.71
308,0.19
309,0.36
310,0.60
311,0.29
312,0.21
313,0.20
314,0.58
315,0.46
316,0.25
317,0.37
318,0.22
319,0.61
320,0.47
321,0.54
322,0.14
323,0.37
324,0.20
325,0.20
326,0.28
327,0.25
328,0.31
329,0.38
330,0.23
331,0.31
332,0.28
333,0.30
334,0.52
335,0.67
336,0.31
337,0.62
338,0.25
339,0.49
340,0.61
341,0.13
342,0.24
343,0.45
344,0.50
345,0.23
346,0.21
347,0.27
348,0.59
349,0.36
350,0.41
351,0.26
352,0.29
353,0.23
354,0.33
355,0.20
356,0.53
357,0.27
358,0.21
359,0.27
360,0.19
361,0.40
362,0.45
363,0.25
364,0.26
365,0.29
366,0.53
367,0.39
368,0.34
369,0.48
370,0.23
371,0.48
372,0.54
373,0.33
374,0.35
375,0.34
376,0.61
377,0.33
378,0.23
379,0.21
380,0.39
381,0.29
382,0.49
383,0.26
384,0.48
385,0.18
386,0.29
387,0.35
388,0.46
389,0.38
390,0.36
391,0.55
392,0.44
393,0.36
394,0.19
395,0.31
396,0.39
397,0.38
398,0.20
399,0.33
400,0.36
401,0.36
402,0.23
403,0.37
404,0.25
405,0.33
406,0.22
407,0.37
408,0.24
409,0.19
410,0.51
411,0.23
412,0.33
413,0.54
414,0.45
415,0.25
416,0.41
417,0.63
418,0.33
419,0.38
420,0.34
421,0.21
422,0.40
423,0.20
424,0.25
425,0.25
426,0.49
427,0.25
428,0.19
429,0.22
430,0.21
431,0.73
432,0.53
433,0.22
434,0.27
435,0.38
436,0.35
437,0.23
438,0.31
439,0.32
440,0.23
441,0.51
442,0.23
443,0.41
444,0.29
445,0.30
446,0.42
447,0.38
448,0.63
449,0.25
450,0.52
451,0.43
452,0.26
453,0.71
454,0.19
455,0.23
456,0.22
457,0.21
458,0.38
459,0.22
460,0.60
461,0.48
462,0.16
463,0.44
464,0.60
465,0.66
466,0.37
467,0.37
468,0.47
469,0.60
470,0.33
471,0.27
472,0.27
473,0.24
474,0.53
475,0.33
476,0.21
477,0.30
478,0.16
479,0.50
480,0.53
481,0.16
482,0.52
483,0.23
484,0.44
485,0.26
486,0.45
487,0.59
488,0.40
489,0.25
490,0.23
491,0.24
492,0.32
493,0.28
494,0.35
495,0.56
496,0.38
497,0.23
498,0.22
499,0.19
500,0.27
501,0.41
502,0.36
503,0.26
504,0.19
505,0.34
506,0.24
507,0.51
508,0.33
509,0.33
510,0.29
511,0.14
512,0.21
513,0.31
514,0.24
515,0.53
516,0.44
517,0.22
518,0.64
519,0.48
520,0.14
521,0.39
522,0.23
523,0.27
524,0.34
525,0.42
526,0.35
527,0.22
528,0.39
529,0.64
530,0.23
531,0.33
532,0.39
533,0.39
534,0.23
535,0.35
536,0.20
537,0.31
538,0.24
539,0.39
540,0.30
541,0.19
542,0.39
543,0.30
544,0.31
545,0.41
546,0.38
547,0.15
548,0.42
549,0.58
550,0.58
551,0.66
552,0.28
553,0.51
554,0.33
555,0.21
556,0.25
557,0.39
558,0.13
559,0.36
560,0.48
561,0.44
562,0.34
563,0.49
564,0.46
565,0.13
566,0.39
567,0.43
568,0.30
569,0.24
570,0.46
571,0.14
572,0.29
573,0.24
574,0.25
575,0.36
576,0.18
577,0.44
578,0.24
579,0.38
580,0.27
581,0.36
582,0.65
583,0.32
584,0.31
585,0.26
586,0.21
587,0.28
588,0.27
589,0.30
590,0.38
591,0.67
592,0.19
593,0.36
594,0.27
595,0.45
596,0.47
597,0.29
598,0.41
599,0.46
600,0.19
601,0.31
602,0.15
603,0.28
604,0.24
605,0.50
606,0.20
607,0.61
608,0.21
609,0.32
610,0.32
611,0.32
612,0.25
613,0.49
614,0.33
615,0.16
616,0.27
617,0.42
618,0.20
619,0.35
620,0.22
621,0.33
622,0.30
623,0.32
624,0.59
625,0.34
626,0.27
627,0.39
628,0.66
629,0.35
630,0.38
631,0.17
632,0.38
633,0.28
634,0.59
635,0.40
636,0.62
637,0.24
638,0.25
639,0.27
640,0.31
641,0.48
642,0.30
643,0.37
644,0.43
645,0.33
646,0.57
647,0.51
648,0.26
649,0.30
650,0.38
651,0.35
652,0.50
653,0.38
654,0.21
655,0.49
656,0.48
657,0.09
658,0.57
659,0.26
660,0.31
661,0.38
662,0.22
663,0.18
664,0.34
665,0.24
666,0.25
667,0.30
668,0.59
669,0.28
670,0.34
671,0.46
672,0.22
673,0.36
674,0.20
675,0.43
676,0.49
677,0.58
678,0.19
679,0.56
680,0.17
681,0.62
682,0.26
683,0.27
684,0.20
685,0.26
686,0.23
687,0.39
688,0.46
689,0.39
690,0.17
691,0.42
692,0.25
693,0.44
694,0.21
695,0.34
696,0.11
697,0.20
698,0.41
699,0.36
700,0.29
701,0.31
702,0.35
703,0.63
704,0.41
705,0.46
706,0.24
707,0.31
708,0.18
709,0.49
710,0.22
711,0.37
712,0.16
713,0.50
714,0.25
715,0.36
716,0.23
717,0.20
718,0.36
719,0.28
720,0.65
721,0.25
722,0.45
723,0.52
724,0.24
725,0.38
726,0.27
727,0.49
728,0.55
729,0.37
730,0.20
731,0.48
732,0.21
733,0.62
734,0.47
735,0.34
736,0.38
737,0.26
738,0.34
739,0.52
740,0.27
741,0.24
742,0.20
743,0.16
744,0.51
745,0.30
746,0.26
747,0.29
748,0.68
749,0.41
750,0.70
751,0.51
752,0.45
753,0.35
754,0.33
755,0.48
756,0.38
757,0.23
758,0.28
759,0.55
760,0.66
761,0.41
762,0.53
763,0.61
764,0.47
765,0.41
766,0.35
767,0.29
768,0.51
769,0.33
770,0.24
771,0.28
772,0.43
773,0.35
774,0.34
775,0.62
776,0.16
777,0.33
778,0.13
779,0.21
780,0.30
781,0.30
782,0.32
783,0.29
784,0.73
785,0.46
786,0.34
787,0.44
788,0.20
789,0.53
790,0.21
791,0.26
792,0.41
793,0.17
794,0.38
795,0.51
796,0.44
797,0.30
798,0.34
799,0.41
800,0.21
801,0.23
802,0.31
803,0.21
804,0.16
805,0.62
806,0.29
807,0.20
808,0.34
809,0.41
810,0.32
811,0.20
812,0.59
813,0.23
814,0.35
815,0.30
816,0.50
817,0.63
818,0.20
819,0.52
820,0.17
821,0.58
822,0.39
823,0.20
824,0.26
825,0.26
826,0.23
827,0.40
828,0.26
829,0.21
830,0.32
831,0.25
832,0.60
833,0.20
834,0.36
835,0.47
836,0.39
837,0.47
838,0.48
839,0.34
840,0.30
841,0.68
842,0.23
843,0.37
844,0.23
845,0.28
846,0.34
847,0.24
848,0.49
849,0.25
850,0.47
851,0.31
852,0.24
853,0.37
854,0.24
855,0.25
856,0.27
857,0.31
858,0.27
859,0.40
860,0.31
861,0.44
862,0.18
863,0.36
864,0.43
865,0.27
866,0.64
867,0.44
868,0.41
869,0.28
870,0.41
871,0.24
872,0.23
873,0.22
874,0.25
875,0.22
876,0.20
877,0.33
878,0.44
879,0.42
880,0.57
881,0.20
882,0.24
883,0.34
884,0.23
885,0.30
886,0.27
887,0.55
888,0.24
889,0.27
890,0.45
891,0.28
892,0.21
893,0.40
894,0.21
895,0.30
896,0.21
897,0.21
898,0.21
899,0.27
900,0.32
901,0.40
902,0.41
903,0.23
904,0.39
905,0.34
906,0.27
907,0.32
908,0.34
909,0.44
910,0.33
911,0.29
912,0.19
913,0.20
914,0.20
915,0.33
916,0.22
917,0.34
918,0.37
919,0.34
920,0.29
921,0.42
922,0.30
923,0.25
924,0.30
925,0.53
926,0.33
927,0.52
928,0.23
929,0.22
930,0.50
931,0.46
932,0.43
933,0.28
934,0.28
935,0.38
936,0.67
937,0.29
938,0.44
939,0.38
940,0.48
941,0.27
942,0.27
943,0.36
944,0.42
945,0.25
946,0.32
947,0.33
948,0.60
949,0.46
950,0.28
951,0.57
952,0.24
953,0.31
954,0.35
955,0.38
956,0.39
957,0.16
958,0.20
959,0.35
960,0.41
961,0.29
962,0.63
963,0.27
964,0.38
965,0.42
966,0.31
967,0.31
968,0.33
969,0.65
970,0.24
971,0.59
972,0.30
973,0.34
974,0.20
975,0.23
976,0.56
977,0.34
978,0.30
979,0.33
980,0.51
981,0.21
982,0.07
983,0.42
984,0.42
985,0.29
986,0.20
987,0.20
988,0.28
989,0.33
990,0.28
991,0.24
992,0.30
993,0.32
994,0.32
995,0.18
996,0.17
997,0.45
998,0.58
999,0.36
1000,0.62
1001,0.51
1002,0.52
1003,0.20
1004,0.25
1005,0.48
1006,0.29
1007,0.20
1008,0.22
1009,0.25
1010,0.27
1011,0.34
1012,0.41
1013,0.21
1014,0.29
1015,0.24
1016,0.11
1017,0.35
1018,0.55
1019,0.33
1020,0.35
1021,0.15
1022,0.25
1023,0.38
1024,0.39
1025,0.22
1026,0.51
1027,0.46
1028,0.21
1029,0.31
1030,0.39
1031,0.23
1032,0.50
1033,0.29
1034,0.33
1035,0.10
1036,0.25
1037,0.49
1038,0.37
1039,0.35
1040,0.21
1041,0.24
1042,0.17
1043,0.67
1044,0.31
1045,0.65
1046,0.69
1047,0.30
1048,0.41
1049,0.26
1050,0.52
1051,0.41
1052,0.21
1053,0.29
1054,0.30
1055,0.44
1056,0.19
1057,0.22
1058,0.30
1059,0.25
1060,0.46
1061,0.34
1062,0.26
1063,0.43
1064,0.25
1065,0.36
1066,0.29
1067,0.36
1068,0.23
1069,0.30
1070,0.48
1071,0.47
1072,0.65
1073,0.31
1074,0.21
1075,0.25
1076,0.31
1077,0.14
1078,0.37
1079,0.24
1080,0.39
1081,0.38
1082,0.39
1083,0.41
1084,0.22
1085,0.66
1086,0.30
1087,0.18
1088,0.10
1089,0.28
1090,0.27
1091,0.22
1092,0.24
1093,0.32
1094,0.29
1095,0.21
1096,0.43
1097,0.52
1098,0.15
1099,0.27
1100,0.43
1101,0.18
1102,0.37
1103,0.35
1104,0.36
1105,0.36
1106,0.26
1107,0.28
1108,0.34
1109,0.39
1110,0.21
1111,0.53
1112,0.53
1113,0.51
1114,0.49
1115,0.24
1116,0.35
1117,0.25
1118,0.33
1119,0.20
1120,0.24
1121,0.41
1122,0.47
1123,0.29
1124,0.46
1125,0.29
1126,0.54
1127,0.39
1128,0.20
1129,0.23
1130,0.56
1131,0.47
1132,0.30
1133,0.53
1134,0.23
1135,0.26
1136,0.54
1137,0.68
1138,0.28
1139,0.31
1140,0.27
1141,0.67
1142,0.66
1143,0.23
1144,0.39
1145,0.46
1146,0.22
1147,0.57
1148,0.32
1149,0.44
1150,0.59
1151,0.45
1152,0.31
1153,0.45
1154,0.25
