ID,Prob1
0,0.41
1,0.79
2,0.27
3,0.89
4,0.47
5,0.27
6,0.44
7,0.27
8,0.27
9,0.31
10,0.49
11,0.68
12,0.26
13,0.27
14,0.26
15,0.27
16,0.44
17,0.27
18,0.65
19,0.62
20,0.27
21,0.26
22,0.66
23,0.32
24,0.53
25,0.57
26,0.27
27,0.27
28,0.27
29,0.25
30,0.67
31,0.27
32,0.69
33,0.27
34,0.27
35,0.27
36,0.27
37,0.34
38,0.26
39,0.29
40,0.27
41,0.66
42,0.34
43,0.35
44,0.28
45,0.26
46,0.37
47,0.31
48,0.89
49,0.70
50,0.23
51,0.27
52,0.47
53,0.27
54,0.67
55,0.28
56,0.27
57,0.27
58,0.33
59,0.35
60,0.36
61,0.28
62,0.28
63,0.56
64,0.27
65,0.39
66,0.28
67,0.57
68,0.27
69,0.91
70,0.27
71,0.30
72,0.35
73,0.27
74,0.65
75,0.38
76,0.28
77,0.27
78,0.27
79,0.27
80,0.27
81,0.34
82,0.67
83,0.25
84,0.69
85,0.28
86,0.27
87,0.28
88,0.28
89,0.25
90,0.73
91,0.40
92,0.31
93,0.27
94,0.26
95,0.58
96,0.48
97,0.27
98,0.27
99,0.27
100,0.27
101,0.27
102,0.25
103,0.27
104,0.27
105,0.70
106,0.28
107,0.27
108,0.23
109,0.27
110,0.27
111,0.30
112,0.80
113,0.48
114,0.39
115,0.28
116,0.57
117,0.27
118,0.52
119,0.27
120,0.62
121,0.27
122,0.27
123,0.82
124,0.28
125,0.82
126,0.43
127,0.27
128,0.27
129,0.27
130,0.39
131,0.27
132,0.27
133,0.26
134,0.33
135,0.55
136,0.27
137,0.27
138,0.27
139,0.46
140,0.27
141,0.44
142,0.27
143,0.28
144,0.27
145,0.70
146,0.85
147,0.28
148,0.27
149,0.68
150,0.27
151,0.27
152,0.27
153,0.28
154,0.47
155,0.27
156,0.53
157,0.31
158,0.27
159,0.27
160,0.78
161,0.27
162,0.37
163,0.66
164,0.28
165,0.31
166,0.27
167,0.27
168,0.27
169,0.27
170,0.27
171,0.27
172,0.24
173,0.62
174,0.27
175,0.27
176,0.19
177,0.27
178,0.54
179,0.27
